instrument,alpha,key,text,label,row,scale,item
NEO,0.85,1,Carry out my plans.,Self-Discipline,3378,NEO_Self-Discipline,NEO_Self-Discipline_04
NEO,0.85,1,Start tasks right away.,Self-Discipline,3379,NEO_Self-Discipline,NEO_Self-Discipline_05
NEO,0.85,-1,Find it difficult to get down to work.,Self-Discipline,3380,NEO_Self-Discipline,NEO_Self-Discipline_06
NEO,0.85,-1,Need a push to get started.,Self-Discipline,3381,NEO_Self-Discipline,NEO_Self-Discipline_07
NEO,0.85,-1,Have difficulty starting tasks.,Self-Discipline,3382,NEO_Self-Discipline,NEO_Self-Discipline_08
NEO,0.85,-1,Postpone decisions.,Self-Discipline,3383,NEO_Self-Discipline,NEO_Self-Discipline_09
NEO,0.85,-1,Waste my time.,Self-Discipline,3384,NEO_Self-Discipline,NEO_Self-Discipline_10
NEO,0.78,1,Excel in what I do.,Self-Efficacy,3385,NEO_Self-Efficacy,NEO_Self-Efficacy_01
NEO,0.78,1,Come up with good solutions.,Self-Efficacy,3386,NEO_Self-Efficacy,NEO_Self-Efficacy_02
NEO,0.78,1,Know how to get things done.,Self-Efficacy,3387,NEO_Self-Efficacy,NEO_Self-Efficacy_03
NEO,0.78,1,Complete tasks successfully.,Self-Efficacy,3388,NEO_Self-Efficacy,NEO_Self-Efficacy_04
NEO,0.78,1,Handle tasks smoothly.,Self-Efficacy,3389,NEO_Self-Efficacy,NEO_Self-Efficacy_05
NEO,0.78,1,Am sure of my ground.,Self-Efficacy,3390,NEO_Self-Efficacy,NEO_Self-Efficacy_06
NEO,0.78,-1,Misjudge situations.,Self-Efficacy,3391,NEO_Self-Efficacy,NEO_Self-Efficacy_07
NEO,0.78,-1,Don't understand things.,Self-Efficacy,3392,NEO_Self-Efficacy,NEO_Self-Efficacy_08
NEO,0.78,-1,Don't see the consequences of things.,Self-Efficacy,3393,NEO_Self-Efficacy,NEO_Self-Efficacy_09
NEO,0.78,-1,Have little to contribute.,Self-Efficacy,3394,NEO_Self-Efficacy,NEO_Self-Efficacy_10
NEO,0.75,1,Feel sympathy for those who are worse off than myself.,Sympathy,3395,NEO_Sympathy,NEO_Sympathy_01
NEO,0.75,1,Value cooperation over competition.,Sympathy,3396,NEO_Sympathy,NEO_Sympathy_02
NEO,0.75,1,Sympathize with the homeless.,Sympathy,3397,NEO_Sympathy,NEO_Sympathy_03
NEO,0.75,1,Suffer from others' sorrows.,Sympathy,3398,NEO_Sympathy,NEO_Sympathy_04
NEO,0.75,-1,Believe people should fend for themselves.,Sympathy,3399,NEO_Sympathy,NEO_Sympathy_05
NEO,0.75,-1,Try not to think about the needy.,Sympathy,3400,NEO_Sympathy,NEO_Sympathy_06
NEO,0.75,-1,Tend to dislike soft-hearted people.,Sympathy,3401,NEO_Sympathy,NEO_Sympathy_07
NEO,0.75,-1,Believe in an eye for an eye.,Sympathy,3402,NEO_Sympathy,NEO_Sympathy_08
NEO,0.75,-1,Can't stand weak people.,Sympathy,3403,NEO_Sympathy,NEO_Sympathy_09
NEO,0.75,-1,Am not interested in other people's problems.,Sympathy,3404,NEO_Sympathy,NEO_Sympathy_10
NEO,0.82,1,Believe that people are basically moral.,Trust,3405,NEO_Trust,NEO_Trust_01
NEO,0.82,1,Believe that others have good intentions.,Trust,3406,NEO_Trust,NEO_Trust_02
NEO,0.82,1,Trust others.,Trust,3407,NEO_Trust,NEO_Trust_03
NEO,0.82,1,Believe in human goodness.,Trust,3408,NEO_Trust,NEO_Trust_04
NEO,0.82,1,Think that all will be well.,Trust,3409,NEO_Trust,NEO_Trust_05
NEO,0.82,1,Trust what people say.,Trust,3410,NEO_Trust,NEO_Trust_06
NEO,0.82,-1,Believe that people are essentially evil.,Trust,3411,NEO_Trust,NEO_Trust_07
NEO,0.82,-1,Distrust people.,Trust,3412,NEO_Trust,NEO_Trust_08
NEO,0.82,-1,Suspect hidden motives in others.,Trust,3413,NEO_Trust,NEO_Trust_09
NEO,0.82,-1,Am wary of others.,Trust,3414,NEO_Trust,NEO_Trust_10
NEO,0.82,1,Panic easily.,Vulnerability,3415,NEO_Vulnerability,NEO_Vulnerability_01
NEO,0.82,1,Get overwhelmed by emotions.,Vulnerability,3416,NEO_Vulnerability,NEO_Vulnerability_02
NEO,0.82,1,Feel that I'm unable to deal with things.,Vulnerability,3417,NEO_Vulnerability,NEO_Vulnerability_03
NEO,0.82,1,Can't make up my mind.,Vulnerability,3418,NEO_Vulnerability,NEO_Vulnerability_04
NEO,0.82,1,Become overwhelmed by events.,Vulnerability,3419,NEO_Vulnerability,NEO_Vulnerability_05
NEO,0.82,-1,Remain calm under pressure.,Vulnerability,3420,NEO_Vulnerability,NEO_Vulnerability_06
NEO,0.82,-1,Am calm even in tense situations.,Vulnerability,3421,NEO_Vulnerability,NEO_Vulnerability_07
NEO,0.82,-1,Can handle complex problems.,Vulnerability,3422,NEO_Vulnerability,NEO_Vulnerability_08
NEO,0.82,-1,Readily overcome setbacks.,Vulnerability,3423,NEO_Vulnerability,NEO_Vulnerability_09
NEO,0.82,-1,Know how to cope.,Vulnerability,3424,NEO_Vulnerability,NEO_Vulnerability_10
